,kpkv,year,name_eng,name_ukr,m_1_plan,m_1_fact,m_1_nspend,m_2_plan,m_2_fact,m_2_nspend,m_3_plan,m_3_fact,m_3_nspend,m_4_plan,m_4_fact,m_4_nspend,m_5_plan,m_5_fact,m_5_nspend,m_6_plan,m_6_fact,m_6_nspend,m_7_plan,m_7_fact,m_7_nspend,m_8_plan,m_8_fact,m_8_nspend,m_9_plan,m_9_fact,m_9_nspend,m_10_plan,m_10_fact,m_10_nspend,m_11_plan,m_11_fact,m_11_nspend,m_12_plan,m_12_fact,m_12_nspend,Annual Plan
1468,0,2018,Everything,Усього,53385555300,45173169996,8212385304,65318923400,61952620280,11578688424,105311055200,94862543333,22027200291,79199844960,73486424874,27740620378,87198854275,78642008421,36297466232,75394917448,70657754889,41034628790,64694077657,60239944233,45488762215,67655814325,62076828176,51067748364,83668513698,77071824377,57664437686,66951382832,64492819266,60123001251,83090134856,80948281104,62264855003,74023885457,114559661733,21729078727,905892959408
1469,0,2019,Everything,Усього,70498346400,61713916905,8784429495,71100722102,67785609899,12099541698,97711906400,88709723392,21101724706,74883166641,76328640260,19656251088,101267283898,86476743323,34446791663,86576064700,78322046226,42700810137,75136849800,69393688897,48443971040,78421559533,71649111986,55216418587,89768694559,79352815958,65632297188,77716450146,70893655379,72455091955,80039054830,84086879043,68407267742,79481397891,118266590201,29622075432,982601496900
1470,0,2020,Everything,Усього,73325846800,62015293817,11310552983,79987269600,69612817749,21685004834,96920956078,90344004896,28261956016,102658413375,87238410670,43681958722,118200744564,84195738209,77686965077,59657580616,86666809404,50677736289,110692832572,86439215934,74931352927,98278783389,80848332775,92361803541,103933789763,103290569831,93005023473,93875994365,92469136072,94411881766,104049010040,97844835743,100616056063,93751464938,158243051204,36124469797,1135332686100
1471,0,2021,Everything,Усього,80805779200,68288058731,12517720469,89273775138,86302056954,15489438653,106891361750,99709571874,22671228529,99842045350,90085624225,32427649654,114251833912,110797366150,35882117416,111924870647,103518436327,44288551736,84785313092,76440050167,52633814661,94896726920,82250061210,65280480370,113529809002,110504700378,68305588994,97949263542,93946416248,72308436288,127053091206,127512034249,71849493245,156990221041,210469621327,18370092959,1278194090800
0,111010,2018,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,61121100,56204532.71,4916567.29,65560500,62722663.32,7754403.97,65560500,61289841.14,12025062.83,66688100,63561262.23,15151900.6,74226700,61528646.4,27849954.2,79545400,65891122.55,41504231.65,80655200,76375957.65,45783474,82874900,48301465.18,80356908.82,80903600,66035860.48,95224648.34,76712300,63216212.39,108720736,77840000,74170896.08,112389839.9,85378200,144863666.1,52904373.82,897066500
1,111010,2019,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,64008400,59196046.87,4812353.13,66007300,54188073.99,16631579.14,75510200,80596367.27,11545411.87,75891900,68181489.83,19255822.04,77449600,68275840.23,28429581.81,93566000,76909033.4,45086548.41,91736000,79247667.45,57574880.96,142070500,121622826.6,78022554.32,88838700,61572150.44,105289103.9,75819100,70745164.74,110363039.1,106091800,53828281.12,162626558,105448000,144815422.1,123259136,1062437500
2,111010,2020,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,79028400,46375843.33,32652556.67,78894300,65487350.45,46059506.22,81057100,61036771.42,66079834.8,78939200,72262999.64,72756035.16,84957000,71718065.61,85994969.55,92404900,71895234.85,106504634.7,93905500,91970178.13,108439956.6,96021800,55250536.01,149211220.6,91864800,74132786.07,166943234.5,90786900,78896294.74,178833839.8,91860800,68604268.11,202090371.6,0,161157836.9,40487434.74,959720700
6,111020,2020,"Service and organizational, information-analytical, logistical support of the Verkhovna Rada of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",72207600,44442792.47,27764807.53,87774600,58415681.64,57123725.89,79071200,51830039.69,84364886.2,31104700,63251040.31,52218545.89,72458000,59764614.65,64911931.24,80277700,67299292.79,77890338.45,79872800,91191232.18,66571906.27,89016100,66966086.5,88621919.77,85739600,78000888.46,96360631.31,75714300,88419073.23,83655858.08,78119800,84677414.25,77098243.83,119659900,171347580.6,25410563.27,951016300
10,111090,2020,Coverage of the Verkhovna Rada of Ukraine through Television and Radio Broadcasting and Financial Support for the Voice of Ukraine newspaper,"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""",6371000,3213787.31,3157212.69,6371000,4312517.66,5215695.03,6371000,3835131.96,7751563.07,6371000,7409188.89,6713374.18,6371000,4611119.56,8473254.62,6371000,7268334.81,7575919.81,6371000,7727550.5,6219369.31,6371000,5144610.13,7445759.18,6485500,6104801.62,7826457.56,6485500,5888540.23,8423417.33,6485500,5105229.58,9803687.75,6484900,15879205.19,409382.56,76909400
3,111010,2021,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,74984200,51390942.65,23593257.35,76107300,70635460.5,29065096.85,78876700,71362193.76,36579603.09,95096100,75615583.17,56060119.92,101959200,73328531.88,84690788.04,115400600,72944616.27,127146771.8,121920600,103177920.5,145889451.2,117569900,81314014.41,182145336.8,255777300,57718339.52,380204297.3,119862900,84868198.15,415198999.2,256411700,93629009.62,577981689.5,129452000,291168538.5,416265151,1543418500
